id,HH,Emo,Ext,Agr,Con,Ope
974e8e4e97e3389fbfe6dd5de2dbd2e2,18,30,37,32,34,31
977caf067e7232f844932d255f39149e,27,35,34,38,36,26
9784191758e103abead7bcf3d4353cb8,26,27,40,32,38,30
97962b392080d78968c10f49ed731fd1,32,38,33,38,36,30
97cb9a945f779478b0d28d61b653b7c0,37,23,32,39,33,28
986a533364c7d61b1db7086391812aa8,38,32,35,35,33,32
986f2851348b8110b5d952b4cee244b2,46,30,35,34,48,37
9939583a40c7b256bdf0efb380d247f0,44,29,31,42,27,28
4f710b4075d5e1033b7c9b1de093416f,31,40,20,37,19,25
512ddf80d5835705a298de2656bff174,35,37,33,23,45,45
5165a1d46f3a46b8f604fcdfab016b1a,30,25,32,36,29,35
51a5b03efc1a8b6fb50339e6092585c9,34,28,31,38,29,33
521842f9faf89523632d7b493696b3ea,22,32,33,34,27,28
52b60afadbaa20c23ada6003368b1919,31,37,39,33,31,32
5303d46a98e0f274a7e8982d1485a3a1,43,35,37,39,29,44
53329d2fe740bf9c8a1fdd072f6a7dc5,39,25,45,30,36,37
5341ac6efff475a052225122c7dafbe8,33,34,29,32,35,34
5438646b2be57716a10bb1a9bbc6fc17,32,34,32,28,30,32
558bac927996a043f1e9794b9b9fc69a,27,34,39,22,28,31
559b7e47ee815cff86ef2c930aec14d5,27,28,20,31,21,31
562c63380b91e90376edb68dbfde71cb,28,39,29,29,36,34
564bf2949508494b236e1b8e157139b3,38,36,28,27,32,28
565f1072e706c6a7b6847bab82286c94,24,39,28,20,24,38
56c88ebddf9b71e0a654b0ec8229d933,41,31,39,38,30,38
5865c3ca646b30031eea426e032f2869,35,34,32,34,36,31
5878d4f78408e76a6b178d2a240501fb,27,40,28,22,33,49
58f53f53895a366774857d82b1c99776,38,35,27,35,26,44
5931f8399c44e800ae2f230717e460f4,23,25,33,35,22,29
5a49639de5c8cf3c332e99bd2f9351a7,31,26,31,37,34,24
5ac77892bd3d039f181d4f98ea5fa3c2,35,39,27,40,33,38
5b8f8740d3710a892b8fb1d961401288,22,34,27,27,29,25
5b9e131a649dd27d6a6baa247819e659,34,36,33,29,38,28
5c4104ace7b36da8997e4fa209bc24e5,25,34,33,33,26,25
5c9d36bf585da3aa61a9dfc915e969e4,36,41,28,20,39,30
5d56a56055725a0ee21d92aa56337cbc,31,37,23,30,29,25
5dcc63e5d6be3d13e9b9a13a87c44602,38,32,23,35,31,36
5e480dbc323fe422444bb9f71ef1fe9f,30,36,32,38,38,37
5ee5ab9a4074940ca5509be2266c13af,33,33,26,27,41,37
5fbb12ce8effb31fb4b1dcf5af4c454a,23,34,25,35,32,31
603403030fdf522f56b296d3a6f6308e,38,32,32,45,41,38
60defa476f044279ed14a645d1e27d80,36,38,39,43,40,41
